,bothfoot_L,swing_L,bothfoot_R,swing_R,stand_L,stand_R,cluster_id
451,851,467,735,540,145,166,4
452,784,468,781,479,136,169,4
453,838,427,751,554,137,147,4
454,812,484,736,510,130,172,4
455,798,450,750,540,122,136,4
456,912,447,750,600,134,178,4
457,786,500,750,510,107,169,4
458,899,450,765,585,156,158,4
459,819,539,765,540,120,159,4
460,810,585,810,555,104,151,4
461,867,466,870,555,131,181,4
462,871,496,765,555,148,168,4
463,1026,635,841,659,170,197,4
464,3554,615,1501,750,248,2556,7
465,1751,435,1185,915,514,322,0
466,3843,225,1455,870,263,2710,7
467,1649,617,1321,1019,282,348,0
468,1861,260,1186,975,599,287,0
469,2576,689,915,735,180,1661,7
470,1350,669,1200,780,239,331,0
471,1399,750,1245,825,237,337,0
472,1528,715,1320,900,295,333,0
473,1402,567,1321,884,207,311,0
474,1091,523,1141,540,184,367,4
475,1008,274,915,630,170,208,4
476,7744,561,870,585,148,7011,2
477,880,555,885,540,164,176,4
478,972,570,931,614,146,212,4
479,904,498,901,554,165,185,4
480,888,771,811,600,140,148,4
481,2439,408,1170,1245,935,259,0
482,3553,429,1350,600,81,2872,7
483,1927,467,630,540,97,1290,0
484,654,395,675,465,78,111,4
485,0,500,0,465,0,0,8
486,0,44,0,465,0,0,8
487,0,459,0,465,0,0,8
488,0,441,0,465,0,0,8
489,0,451,0,480,0,0,8
490,0,345,0,135,0,0,8
491,0,579,0,75,0,0,8
492,0,854,0,45,0,0,8
493,0,565,0,30,0,0,8
494,0,625,0,195,0,0,8
495,1199,558,480,735,229,235,4
496,1105,621,1005,720,167,218,4
497,1160,729,1020,750,178,232,4
498,5059,350,1155,105,266,3968,2
499,3058,538,1140,810,193,2055,7
500,1209,625,1005,720,215,274,4
501,1079,584,720,675,164,240,4
502,981,559,930,645,154,182,4
503,0,559,0,30,0,0,8
504,963,635,616,599,144,220,4
505,1031,607,991,660,159,212,4
506,1083,590,990,720,139,224,4
507,996,558,960,615,150,231,4
508,1018,568,915,630,181,207,4
509,0,688,0,300,0,0,8
510,1325,869,525,840,253,232,4
511,2060,260,1410,960,812,288,0
512,853,458,600,555,150,148,4
513,817,422,750,510,120,187,4
514,908,512,736,584,143,181,4
515,947,504,856,584,162,201,4
516,1015,492,856,659,166,190,4
517,908,513,856,555,155,198,4
518,1021,580,855,675,159,187,4
519,1105,836,960,660,224,221,4
520,1061,516,1185,780,156,125,4
521,1092,521,855,735,174,183,4
522,1117,663,1141,629,187,301,4
523,1108,656,1216,555,187,366,0
524,1155,620,1095,705,198,252,4
525,1208,614,1095,735,196,277,4
526,1089,625,1095,630,175,284,4
527,1055,642,1065,600,190,265,4
528,2766,632,990,690,178,1898,7
529,1020,594,1051,599,180,241,4
530,1053,606,1006,645,176,232,4
531,1129,209,1020,720,171,238,4
532,1216,48,1755,60,253,903,0
533,883,531,135,390,152,341,4
534,887,527,870,555,145,187,4
535,932,572,870,585,149,198,4
536,857,505,1036,404,138,315,4
537,830,515,856,479,138,213,4
538,732,466,811,479,95,158,4
539,744,438,706,555,44,145,4
540,713,391,645,450,100,163,4
541,6388,427,810,480,114,5794,2
542,772,508,690,525,98,149,4
543,819,474,765,540,120,159,4
544,880,443,766,554,154,172,4
545,857,500,766,569,119,169,4
546,889,502,811,539,158,192,4
547,1000,429,856,660,144,196,4
548,5063,317,765,555,341,4167,2
549,2172,507,675,555,115,1502,7
550,864,414,795,495,196,173,4
551,2639,592,855,585,84,1970,7
552,1088,660,871,690,203,195,4
553,10327,381,3930,510,168,9649,5
554,861,412,750,510,150,201,4
555,1149,453,1020,540,169,440,4
556,776,481,766,495,124,157,4
557,816,468,750,540,131,145,4
558,853,504,765,525,162,166,4
559,888,543,840,570,144,174,4
560,946,548,885,585,163,198,4
561,959,545,885,600,185,174,4
562,956,546,930,585,171,200,4
563,1010,500,945,630,152,228,4
564,1048,563,856,644,200,204,4
565,1320,438,991,689,403,228,4
566,1448,701,1156,779,354,315,0
567,1530,118,1516,795,274,461,0
568,3736,671,1605,630,228,2878,7
569,1532,708,1335,810,286,436,0
570,3816,499,1350,780,490,2546,7
571,1621,275,1426,884,210,437,0
572,1119,203,1021,735,174,210,4
573,4672,398,2925,645,95,3932,2
574,672,361,645,435,85,152,4
575,12943,134,11251,540,413,11990,1
576,665,363,690,420,102,143,4
