,bothfoot_L,swing_L,bothfoot_R,swing_R,stand_L,stand_R,cluster_id
140,773,496,765,510,621,652,2
141,760,563,705,615,631,699,2
142,760,513,720,570,621,659,2
143,760,512,750,480,671,609,2
144,821,588,765,569,747,664,2
145,890,655,915,599,781,769,2
146,880,628,945,599,746,764,2
147,870,595,870,600,746,724,2
148,850,541,810,675,661,739,2
149,920,529,795,600,716,734,2
150,870,514,840,600,666,724,2
151,900,485,780,630,646,744,2
152,810,613,690,645,741,689,2
153,860,560,885,585,691,729,2
154,930,545,825,615,731,749,2
155,810,523,870,524,676,664,2
156,841,569,795,600,691,720,2
157,790,645,825,569,736,704,2
158,841,592,900,555,722,719,2
159,780,582,840,540,712,658,2
160,790,511,855,510,657,653,2
161,810,442,840,555,522,738,2
162,630,469,585,495,542,558,2
163,460,342,615,330,407,403,2
164,450,347,480,315,412,388,2
165,440,323,480,315,387,383,2
166,500,307,465,375,357,453,2
167,530,349,435,405,397,483,2
168,572,437,480,404,524,488,2
169,732,431,569,509,0,602,2
170,0,480,0,0,0,0,0
171,0,573,0,0,0,0,0
172,0,468,0,0,0,0,0
173,0,613,0,0,0,0,0
174,0,533,0,0,0,0,0
175,0,538,0,0,0,0,0
176,0,682,0,495,586,0,0
177,790,508,675,615,596,704,2
178,740,477,705,510,601,619,2
179,760,880,735,510,996,644,2
180,960,666,1125,690,811,819,1
181,960,581,1005,645,702,839,2
182,4389,705,4455,540,805,4294,3
183,780,580,990,464,710,650,2
184,801,680,900,510,781,700,2
185,130,185,945,570,1136,734,2
186,110,929,0,0,2176,0,0
187,1600,1075,0,0,4856,0,4
188,760,1420,735,645,1466,714,1
189,900,600,1650,630,686,814,1
190,880,647,135,570,776,754,2
191,860,659,779,570,0,740,2
192,910,705,134,689,795,825,2
193,750,559,945,480,680,630,2
194,861,563,855,555,701,730,2
195,961,640,855,675,772,829,2
196,920,748,915,690,837,833,1
197,950,561,975,690,692,828,2
198,860,597,735,675,742,718,2
199,890,506,915,540,687,713,2
200,900,508,840,600,657,753,2
201,800,554,810,525,682,678,2
202,850,612,810,629,712,758,2
203,841,597,885,554,712,729,2
204,950,487,915,569,667,773,2
205,0,423,0,420,0,0,0
206,850,575,780,300,612,1218,2
207,900,457,660,690,622,738,2
208,760,593,675,585,722,638,2
209,811,519,855,510,688,643,2
210,750,544,825,495,668,632,2
211,790,554,810,524,683,667,2
212,810,574,735,644,693,697,2
213,690,732,735,569,818,612,2
214,830,556,990,539,677,713,2
215,850,579,854,539,712,718,2
216,820,586,900,509,712,698,2
217,790,529,885,510,637,683,2
218,680,570,660,570,657,593,2
219,860,520,825,555,657,723,2
220,820,588,825,570,672,738,2
221,1080,709,780,870,812,978,1
222,1010,758,1020,615,947,823,1
223,1041,659,1110,735,803,898,1
224,980,640,870,780,773,847,2
225,790,681,900,569,783,697,2
226,850,530,119,555,648,733,2
227,880,520,794,584,668,732,2
228,900,509,855,540,683,727,2
229,832,617,855,525,755,697,2
230,881,626,855,645,766,745,2
231,991,557,960,630,727,824,2
232,1000,618,885,675,787,833,2
233,930,623,960,600,787,773,2
234,1170,713,825,1035,817,1073,1
235,920,704,945,720,782,848,2
236,940,642,915,734,721,869,2
237,820,840,839,659,881,779,2
238,950,525,1095,615,651,829,2
239,790,591,720,600,721,669,2
240,851,568,765,645,732,689,2
241,801,606,780,615,747,663,2
242,880,655,180,525,802,738,2
243,830,628,990,510,762,698,2
244,960,485,975,555,682,768,2
245,910,794,780,675,937,773,2
246,1030,583,1185,600,771,849,1
247,790,578,945,509,686,684,2
248,790,893,824,524,1026,664,2
249,910,565,1185,615,706,774,2
250,840,538,870,555,661,719,2
251,870,508,810,600,631,749,2
252,820,722,720,600,861,689,2
253,1210,928,930,1005,1066,1074,1
254,1120,763,1260,780,916,974,1
255,1200,749,1125,795,946,1004,1
256,1070,740,1110,764,880,930,1
257,1120,1321,1049,809,1470,980,1
258,1002,709,1590,780,812,900,1
259,1072,785,960,765,949,913,1
260,1021,735,1110,765,835,926,1
261,1161,704,900,1005,801,1070,1
262,900,729,945,660,826,804,2
263,1020,720,1005,735,826,914,1
264,1000,716,1020,660,866,854,1
265,1130,770,1065,779,921,979,1
266,1210,199,1065,839,425,985,2
267,260,105,0,0,795,0,0
268,1282,675,975,750,1032,930,1
269,1703,302,1155,840,1050,963,1
270,1620,212,1275,390,392,2700,1
271,1290,692,885,645,852,1138,1
272,1191,404,195,615,683,918,2
273,1140,599,885,795,743,997,1
274,890,682,915,569,838,742,2
275,880,725,900,660,888,722,2
276,1140,741,1095,719,962,928,1
277,1060,793,1035,824,962,898,1
278,1020,614,1140,660,802,838,1
279,1150,657,915,870,827,983,1
280,1020,659,870,780,857,823,1
281,1080,584,915,855,757,913,1
282,1110,699,870,795,902,908,1
283,1010,740,1125,600,927,823,1
284,891,704,1140,554,833,768,1
285,2530,608,119,599,807,2333,1
286,821,569,870,645,683,708,2
287,0,144,0,0,833,0,0
288,852,649,1035,510,790,712,2
289,200,389,1035,480,717,725,2
290,1020,583,900,645,782,828,2
291,400,180,885,690,707,793,2
292,1410,221,825,585,372,2158,1
293,1110,266,809,824,471,5929,3
294,200,258,0,0,931,0,0
295,360,284,1140,675,797,884,2
296,1130,686,930,765,922,898,1
297,1160,412,812,900,551,8950,3
298,1100,156,929,704,332,2928,1
299,281,228,0,0,842,0,0
300,971,377,150,585,516,2548,1
301,990,290,870,660,436,1014,2
